15:48:08 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
15:48:10 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
15:48:10 INFO  tests.TestBase - Start on method - loginPositive
15:48:11 INFO  tests.TestBase - End off method - loginPositive
15:48:11 INFO  tests.TestBase - Start on method - loginPositiveDto
15:48:12 INFO  tests.TestBase - End off method - loginPositiveDto
15:48:12 INFO  tests.TestBase - Start on method - loginTestBase
15:48:12 INFO  tests.TestBase - End off method - loginTestBase
15:48:12 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:48:12 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:48:12 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:48:16 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:48:16 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:48:17 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:48:17 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:48:18 INFO  tests.TestBase - End off method - loginTestDataProvider
15:48:18 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:48:19 INFO  tests.TestBase - End off method - loginTestDataProvider
15:48:19 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:48:20 INFO  tests.TestBase - End off method - loginTestDataProvider
15:48:20 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:48:21 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:48:21 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:48:21 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:48:21 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:48:22 INFO  tests.TestBase - End off method - loginTestDataProviderClass
