15:42:57 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
15:42:59 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
15:42:59 INFO  tests.TestBase - Start on method - loginPositive
15:43:00 INFO  tests.TestBase - End off method - loginPositive
15:43:00 INFO  tests.TestBase - Start on method - loginPositiveDto
15:43:01 INFO  tests.TestBase - End off method - loginPositiveDto
15:43:01 INFO  tests.TestBase - Start on method - loginTestBase
15:43:02 INFO  tests.TestBase - End off method - loginTestBase
15:43:02 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:43:02 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:43:02 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:43:06 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:43:06 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:43:07 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:43:07 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:43:08 INFO  tests.TestBase - End off method - loginTestDataProvider
15:43:08 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:43:09 INFO  tests.TestBase - End off method - loginTestDataProvider
15:43:09 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:43:09 INFO  tests.TestBase - End off method - loginTestDataProvider
15:43:09 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:43:10 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:43:10 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:43:11 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:43:11 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:43:12 INFO  tests.TestBase - End off method - loginTestDataProviderClass
