15:44:58 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
15:45:00 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
15:45:00 INFO  tests.TestBase - Start on method - loginPositive
15:45:01 INFO  tests.TestBase - End off method - loginPositive
15:45:01 INFO  tests.TestBase - Start on method - loginPositiveDto
15:45:02 INFO  tests.TestBase - End off method - loginPositiveDto
15:45:02 INFO  tests.TestBase - Start on method - loginTestBase
15:45:02 INFO  tests.TestBase - End off method - loginTestBase
15:45:02 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:45:03 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:45:03 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:45:07 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:45:07 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:45:07 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:45:07 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:45:08 INFO  tests.TestBase - End off method - loginTestDataProvider
15:45:08 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:45:09 INFO  tests.TestBase - End off method - loginTestDataProvider
15:45:09 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:45:10 INFO  tests.TestBase - End off method - loginTestDataProvider
15:45:10 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:45:11 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:45:11 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:45:12 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:45:12 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:45:12 INFO  tests.TestBase - End off method - loginTestDataProviderClass
